frame,time_seconds,lifter_id,class,confidence,x1,y1,x2,y2,X_3D,Y_3D,Z_3D,W_3D,H_3D,D_3D
26,1.084,1,lifter,0.7917,194,1067,466,1512,-4.2503,0.1927,10.5535,0.448,0.9601,0.2079
26,1.084,2,lifter,0.6821,1579,735,1659,919,-4.6229,0.2146,11.4692,0.4906,1.0496,0.229
26,1.084,3,lifter,0.6681,218,684,348,922,-6.17,0.3076,15.232,0.6508,1.3957,0.2885
26,1.084,4,lifter,0.2401,1341,1153,1665,1504,-5.2657,0.2561,13.0235,0.5542,1.1887,0.2488
26,1.084,5,lifter,0.1846,772,1171,1073,1512,-4.5836,0.2121,11.3722,0.4859,1.0402,0.2272
27,1.125,1,lifter,0.7916,194,1067,466,1512,-4.25,0.1927,10.5526,0.448,0.96,0.2079
27,1.125,2,lifter,0.688,1578,736,1659,920,-4.6251,0.2148,11.4746,0.4908,1.0502,0.2291
27,1.125,3,lifter,0.6688,218,684,348,922,-6.1644,0.3073,15.2183,0.6502,1.3944,0.2882
27,1.125,4,lifter,0.2418,1341,1153,1665,1504,-5.2683,0.2563,13.0299,0.5544,1.1893,0.2489
27,1.125,5,lifter,0.1863,772,1171,1072,1512,-4.5819,0.212,11.3681,0.4857,1.0398,0.2271
28,1.167,1,lifter,0.7919,194,1067,466,1512,-4.2474,0.1925,10.5462,0.4477,0.9594,0.2078
28,1.167,2,lifter,0.6938,1578,735,1660,919,-4.5837,0.2123,11.3734,0.4862,1.0404,0.2269
28,1.167,3,lifter,0.6702,218,684,348,922,-6.1642,0.3073,15.2177,0.6501,1.3944,0.2882
28,1.167,4,lifter,0.2428,1341,1153,1665,1504,-5.2665,0.2562,13.0255,0.5543,1.1889,0.2488
28,1.167,5,lifter,0.1866,772,1171,1071,1512,-4.5794,0.2118,11.3619,0.4854,1.0392,0.227
29,1.209,1,lifter,0.7922,194,1067,466,1512,-4.2484,0.1926,10.5488,0.4478,0.9597,0.2078
29,1.209,2,lifter,0.6879,1579,735,1659,919,-4.6371,0.2155,11.5038,0.4921,1.053,0.2297
29,1.209,3,lifter,0.6717,217,684,348,922,-6.1861,0.3085,15.2714,0.6525,1.3995,0.2893
29,1.209,4,lifter,0.2437,1341,1153,1665,1504,-5.2681,0.2562,13.0294,0.5544,1.1893,0.2489
29,1.209,5,lifter,0.1867,772,1171,1070,1512,-4.5811,0.2119,11.3661,0.4856,1.0396,0.2271
30,1.25,1,lifter,0.7921,194,1067,466,1512,-4.2481,0.1925,10.548,0.4478,0.9596,0.2078
30,1.25,2,lifter,0.6772,217,684,348,923,-6.1771,0.308,15.2493,0.6515,1.3974,0.2889
30,1.25,3,lifter,0.6754,1579,735,1660,919,-4.6058,0.2136,11.4272,0.4887,1.0456,0.2281
30,1.25,4,lifter,0.2459,1341,1153,1665,1504,-5.2662,0.2561,13.0248,0.5542,1.1889,0.2488
30,1.25,5,lifter,0.1879,772,1171,1069,1512,-4.5758,0.2116,11.353,0.485,1.0384,0.2268
31,1.292,1,lifter,0.7923,194,1067,466,1512,-4.2475,0.1925,10.5466,0.4477,0.9595,0.2078
31,1.292,2,lifter,0.6805,1579,736,1659,919,-4.6364,0.2154,11.502,0.492,1.0528,0.2297
31,1.292,3,lifter,0.6756,218,684,348,923,-6.156,0.3068,15.1979,0.6493,1.3925,0.2878
31,1.292,4,lifter,0.2468,1341,1153,1665,1504,-5.2665,0.2562,13.0256,0.5543,1.1889,0.2488
31,1.292,5,lifter,0.189,772,1171,1069,1512,-4.5755,0.2116,11.3524,0.485,1.0383,0.2268
