frame,time_seconds,confidence,x1,y1,x2,y2,X_3D,Y_3D,Z_3D,W_3D,H_3D,D_3D
26,1.084,0.7739,227,682,346,921,-6.5708,0.3314,16.2114,0.6938,1.4888,0.3081
27,1.125,0.7748,227,682,346,921,-6.5662,0.3311,16.1999,0.6933,1.4877,0.3079
28,1.167,0.7751,227,682,346,921,-6.5661,0.3311,16.1999,0.6933,1.4877,0.3079
29,1.209,0.7756,227,682,346,921,-6.5659,0.3311,16.1993,0.6933,1.4877,0.3078
30,1.25,0.7753,227,682,346,922,-6.5531,0.3303,16.168,0.6919,1.4847,0.3073
31,1.292,0.7764,227,682,346,922,-6.5529,0.3303,16.1674,0.6919,1.4847,0.3072
32,1.334,0.7777,227,682,346,921,-6.5646,0.331,16.1961,0.6932,1.4874,0.3078
33,1.375,0.778,227,682,346,921,-6.5689,0.3312,16.2067,0.6936,1.4884,0.308
34,1.417,0.7775,227,682,346,921,-6.5711,0.3314,16.212,0.6939,1.4889,0.3081
35,1.459,0.7771,227,682,346,921,-6.5711,0.3314,16.212,0.6939,1.4889,0.3081
36,1.5,0.7764,226,682,346,921,-6.5131,0.328,16.0703,0.6876,1.4754,0.3053
37,1.542,0.7757,226,682,346,921,-6.5131,0.328,16.0703,0.6876,1.4754,0.3053
38,1.584,0.7748,226,682,346,921,-6.5131,0.328,16.0703,0.6876,1.4754,0.3053
39,1.625,0.776,226,682,346,921,-6.5158,0.3281,16.077,0.6879,1.4761,0.3054
40,1.667,0.7769,226,683,346,921,-6.4955,0.327,16.0273,0.6857,1.4714,0.3045
41,1.709,0.7771,226,683,346,921,-6.495,0.3269,16.0262,0.6857,1.4713,0.3045
42,1.75,0.7775,226,683,346,921,-6.4906,0.3267,16.0155,0.6852,1.4702,0.3043
43,1.792,0.7774,226,683,346,921,-6.499,0.3272,16.0359,0.6861,1.4722,0.3047
44,1.834,0.7784,226,683,345,921,-6.5058,0.3275,16.0524,0.6868,1.4737,0.305
45,1.875,0.7778,226,683,346,921,-6.4992,0.3272,16.0363,0.6861,1.4722,0.3047
46,1.917,0.7782,226,683,346,921,-6.4999,0.3272,16.0381,0.6862,1.4724,0.3047
47,1.959,0.7765,226,683,345,921,-6.5108,0.3278,16.0648,0.6874,1.4749,0.3052
48,2.0,0.7768,226,682,345,921,-6.5281,0.3288,16.107,0.6892,1.4789,0.306
49,2.042,0.7761,226,683,345,921,-6.5107,0.3278,16.0646,0.6874,1.4749,0.3052
50,2.084,0.7761,226,683,345,921,-6.5106,0.3278,16.0643,0.6874,1.4749,0.3052
51,2.125,0.7758,227,683,345,921,-6.5544,0.3304,16.1713,0.6921,1.485,0.3073
52,2.167,0.7756,227,683,345,921,-6.5534,0.3303,16.1687,0.692,1.4848,0.3072
53,2.209,0.7768,227,684,345,921,-6.5432,0.3298,16.1438,0.6909,1.4824,0.3068
54,2.251,0.7757,226,683,345,921,-6.5077,0.3277,16.0572,0.687,1.4742,0.3051
55,2.292,0.7777,226,683,345,922,-6.492,0.3267,16.0188,0.6854,1.4706,0.3043
56,2.334,0.7771,226,683,345,922,-6.4905,0.3267,16.0152,0.6852,1.4702,0.3043
57,2.376,0.7771,226,683,345,922,-6.491,0.3267,16.0163,0.6853,1.4703,0.3043
58,2.417,0.7791,1592,735,1670,924,-4.4685,0.2055,11.0919,0.4736,1.0133,0.2209
59,2.459,0.7992,1593,736,1670,924,-4.4607,0.2051,11.0727,0.4727,1.0114,0.2205
