frame,time_seconds,class,confidence,x1,y1,x2,y2,box_width_pixels,box_height_pixels,X_meter,Y_meter,Z_meter,width_3D_meter,height_3D_meter,depth_3D_meter
30,1.25,lifter,0.7808,81.3,244.42,123.74,329.68,42.44,85.26,-7.5264,0.3399,17.9449,0.8462,1.7,0.3385
30,1.25,lifter,0.6846,69.32,384.02,170.17,535.38,100.85,151.37,-4.046,2.1305,10.1078,1.1326,1.7,0.453
30,1.25,lifter,0.4784,566.59,263.06,594.16,329.6,27.57,66.54,2.5644,0.6727,22.9937,0.7044,1.7,0.2818
40,1.667,lifter,0.7823,81.24,244.41,123.76,329.62,42.52,85.22,-7.5306,0.3394,17.9538,0.8483,1.7,0.3393
40,1.667,lifter,0.6862,69.35,384.01,170.13,535.39,100.78,151.38,-4.0457,2.1303,10.1068,1.1317,1.7,0.4527
40,1.667,lifter,0.5018,566.98,262.17,595.06,329.89,28.08,67.72,2.536,0.6533,22.5928,0.7048,1.7,0.2819
50,2.084,lifter,0.7831,81.25,244.64,123.73,329.61,42.48,84.97,-7.5528,0.3426,18.0062,0.8499,1.7,0.34
50,2.084,lifter,0.7011,568.08,262.12,595.56,330.27,27.48,68.15,2.5398,0.6534,22.451,0.6855,1.7,0.2742
50,2.084,lifter,0.6859,69.32,384.04,170.1,535.39,100.78,151.34,-4.047,2.131,10.1094,1.132,1.7,0.4528
60,2.501,lifter,0.7834,81.31,244.98,123.68,329.93,42.37,84.95,-7.5542,0.3493,18.0097,0.8478,1.7,0.3391
60,2.501,lifter,0.7036,569.24,262.42,597.17,330.3,27.93,67.88,2.5845,0.6602,22.5385,0.6995,1.7,0.2798
60,2.501,lifter,0.6868,69.27,383.97,170.08,535.39,100.81,151.42,-4.0453,2.1295,10.1041,1.1318,1.7,0.4527
70,2.917,lifter,0.8104,574.01,264.15,598.49,330.64,24.48,66.49,2.7165,0.7004,23.0096,0.6257,1.7,0.2503
70,2.917,lifter,0.7779,81.42,244.94,123.71,330.06,42.3,85.11,-7.5387,0.3496,17.9763,0.8448,1.7,0.3379
70,2.917,lifter,0.687,69.37,384.01,170.1,535.38,100.72,151.38,-4.0458,2.1303,10.1071,1.1311,1.7,0.4524
80,3.334,lifter,0.7817,81.17,241.66,123.63,330.69,42.46,89.03,-7.2102,0.3088,17.1852,0.8108,1.7,0.3243
80,3.334,lifter,0.6851,69.44,384.06,169.98,535.39,100.54,151.33,-4.0473,2.1313,10.1102,1.1294,1.7,0.4518
80,3.334,lifter,0.4029,573.59,262.99,602.4,329.21,28.8,66.23,2.7722,0.6699,23.103,0.7394,1.7,0.2957
90,3.751,lifter,0.7786,81.18,241.54,123.6,330.7,42.43,89.16,-7.2,0.3073,17.1606,0.8089,1.7,0.3236
90,3.751,lifter,0.6847,69.37,384.15,170.03,535.38,100.66,151.24,-4.05,2.1331,10.1166,1.1314,1.7,0.4526
100,4.168,lifter,0.7977,80.76,244.58,123.67,329.69,42.91,85.11,-7.5456,0.3422,17.9758,0.8571,1.7,0.3429
100,4.168,lifter,0.6828,70.65,383.88,170.31,535.3,99.67,151.42,-4.0362,2.1284,10.104,1.1189,1.7,0.4476
100,4.168,lifter,0.4251,585.4,264.1,611.34,329.48,25.94,65.38,3.0777,0.6966,23.4013,0.6745,1.7,0.2698
110,4.584,lifter,0.8034,80.81,244.35,123.91,330.03,43.09,85.68,-7.4931,0.3411,17.8577,0.855,1.7,0.342
110,4.584,lifter,0.6842,70.63,383.91,170.32,535.33,99.69,151.41,-4.0366,2.129,10.1048,1.1193,1.7,0.4477
120,5.001,lifter,0.8003,80.79,244.52,123.92,330.01,43.13,85.49,-7.5092,0.3433,17.8959,0.8577,1.7,0.3431
120,5.001,lifter,0.6826,70.69,383.91,170.2,535.34,99.5,151.43,-4.0366,2.1289,10.104,1.1171,1.7,0.4468
130,5.418,lifter,0.7951,80.83,244.42,123.95,330.1,43.12,85.68,-7.492,0.3425,17.8565,0.8556,1.7,0.3422
130,5.418,lifter,0.6803,70.71,383.92,170.14,535.4,99.43,151.48,-4.0354,2.1285,10.1005,1.1158,1.7,0.4463
130,5.418,lifter,0.6519,608.26,264.69,634.42,330.32,26.16,65.62,3.6614,0.7125,23.3144,0.6778,1.7,0.2711
140,5.835,lifter,0.7985,80.77,244.36,123.96,329.99,43.2,85.64,-7.4966,0.3409,17.8664,0.8575,1.7,0.343
140,5.835,lifter,0.681,70.75,384.01,170.2,535.41,99.45,151.4,-4.0369,2.1301,10.1054,1.1167,1.7,0.4467
150,6.251,lifter,0.7926,80.57,244.4,124.1,330.23,43.52,85.83,-7.4803,0.3429,17.8262,0.862,1.7,0.3448
150,6.251,lifter,0.6798,70.71,383.9,170.1,535.37,99.39,151.47,-4.036,2.1284,10.1012,1.1155,1.7,0.4462
160,6.668,lifter,0.7817,80.4,244.67,123.97,330.15,43.57,85.49,-7.5133,0.3462,17.8975,0.8665,1.7,0.3466
160,6.668,lifter,0.6809,70.79,383.85,170.21,535.34,99.42,151.49,-4.0343,2.1276,10.0996,1.1157,1.7,0.4463
160,6.668,lifter,0.4711,630.61,265.36,659.09,329.37,28.47,64.01,4.3779,0.7267,23.9011,0.7561,1.7,0.3024
170,7.085,lifter,0.7735,80.37,244.59,123.96,330.08,43.59,85.49,-7.5134,0.3448,17.897,0.8668,1.7,0.3467
170,7.085,lifter,0.6822,70.81,383.79,170.23,535.34,99.42,151.55,-4.0324,2.1264,10.0956,1.1152,1.7,0.4461
170,7.085,lifter,0.5367,636.2,262.82,666.69,328.59,30.49,65.78,4.431,0.6643,23.2602,0.788,1.7,0.3152
180,7.502,lifter,0.7779,80.41,244.83,123.99,330.18,43.59,85.36,-7.5246,0.3487,17.9251,0.8681,1.7,0.3472
180,7.502,lifter,0.6826,70.82,383.81,170.22,535.34,99.41,151.53,-4.033,2.1268,10.0971,1.1152,1.7,0.4461
180,7.502,lifter,0.546,640.3,259.97,673.82,329.02,33.53,69.04,4.3595,0.6031,22.1596,0.8255,1.7,0.3302
190,7.918,lifter,0.7828,80.42,244.73,123.86,330.31,43.44,85.58,-7.5062,0.348,17.8788,0.863,1.7,0.3452
190,7.918,lifter,0.6826,70.79,383.8,170.22,535.34,99.43,151.53,-4.0331,2.1268,10.097,1.1155,1.7,0.4462
190,7.918,lifter,0.6058,648.18,259.14,679.57,328.36,31.4,69.22,4.5161,0.5834,22.1045,0.7711,1.7,0.3084
200,8.335,lifter,0.784,81.72,243.03,124.18,329.06,42.47,86.04,-7.4499,0.317,17.7825,0.8391,1.7,0.3356
200,8.335,lifter,0.6818,71.0,383.86,170.07,535.38,99.07,151.52,-4.0331,2.1274,10.0977,1.1116,1.7,0.4446
200,8.335,lifter,0.576,656.61,259.88,689.53,329.01,32.92,69.13,4.748,0.6011,22.1327,0.8096,1.7,0.3239
210,8.752,lifter,0.8556,664.78,252.64,695.39,329.57,30.61,76.93,4.4216,0.4664,19.889,0.6765,1.7,0.2706
210,8.752,lifter,0.7909,81.93,243.22,124.18,328.99,42.24,85.76,-7.4718,0.3193,17.8399,0.8373,1.7,0.3349
210,8.752,lifter,0.6786,71.06,384.01,170.0,535.36,98.94,151.34,-4.0378,2.1306,10.1094,1.1113,1.7,0.4445
220,9.169,lifter,0.7804,81.64,242.79,124.08,328.58,42.45,85.79,-7.4734,0.3108,17.8345,0.8412,1.7,0.3365
220,9.169,lifter,0.6782,71.19,383.88,169.96,535.37,98.77,151.49,-4.0334,2.1279,10.0997,1.1084,1.7,0.4433
